Sr. No.,Name,District,Address of Hospital,Clusters in HMIS application
1,AMCU-PHC AAMBLI,AHMADABAD,"Ambli Brts Bus Stand,B/H Iscon Mandir,Ambli Gam"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
2,AMCU-PHC AMRAIWADI,AHMADABAD,"Amraiwadi Urban Primery  Health Center, Amraiwadi Swastik Char Rasta ,Metro Train 40Na Pillar  Pase, Nr Mu Garden Amraiwadi"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
3,AMCU-PHC ARBUDANAGAR,AHMADABAD,"Arbudanagar Phc Opp.Krishna Watter Park Nr.Panchal Vadi ,Viratnagar Road Ahemadabad"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
4,AMCU-PHC ASARWA,AHMADABAD,"Juna Asarwa ,Haripura Gam,Asarwa"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
5,AMCU-PHC BAGE FIRDOSH,AHMADABAD,"Indrapuri Uhc, Sureliya Road, Nr Swastik Mall,  Rabari Colony, Ahmedabad"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
6,AMCU-PHC BAHERAMPURA,AHMADABAD,"Nr.  Khodiyarnagar B.R.T.S. Bus Stand, Behrampura"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
7,AMCU-PHC BAPUNAGAR,AHMADABAD,"Bapunagar Urban Health Centre, Marghafarm, Near Bapunagar Subzonal Office, Viratnagar Cross Road, Bapunagar, Ahmedabad-380024"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
8,AMCU-PHC BEHRAMPURA 2,AHMADABAD,"New Behrampura Uhc, Opp.  Danilimda Brts, Nr. Danilimda Bhajiya House Char Rast, Danilimda, Ahmedabad-380028"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
9,AMCU-PHC BHAIPURA,AHMADABAD,"Amtc Work Shop, Opp. Ekta Appartment, Ctm Road, Hatkeshwar 380026"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
10,AMCU-PHC BODAKDEV,AHMADABAD,"Near Andhkanya Prakash School ,Memnagar Gam,"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
